262144 3
74 255 157 
70 49 53 
90 48 58 
127 44 51 
146 44 53 
112 52 55 
92 51 57 
96 52 61 
95 50 59 
91 49 55 
73 45 55 
78 54 65 
76 49 60 
73 47 56 
70 46 58 
68 45 59 
62 57 62 
62 48 61 
61 58 61 
66 43 51 
84 52 59 
84 54 63 
81 53 60 
84 50 56 
86 52 59 
93 55 64 
114 48 62 
145 52 56 
144 54 66 
137 54 60 
153 50 57 
159 60 63 
154 62 71 
151 57 64 
153 51 60 
156 51 59 
163 57 61 
162 60 65 
160 59 59 
167 54 58 
162 57 59 
152 57 63 
146 65 63 
141 61 60 
149 54 60 
155 53 59 
148 58 64 
152 52 60 
157 52 62 
157 58 61 
147 66 66 
141 59 62 
145 60 63 
158 61 59 
170 63 67 
171 61 63 
173 65 66 
173 58 62 
168 54 61 
160 65 66 
157 67 65 
164 55 55 
169 57 65 
165 68 71 
164 66 61 
167 69 67 
160 64 60 
163 65 64 
163 61 55 
155 56 59 
146 62 61 
138 59 59 
135 67 62 
132 63 59 
128 61 58 
124 59 56 
124 58 55 
128 58 52 
133 65 57 
134 63 59 
146 64 59 
144 60 56 
139 56 56 
140 54 54 
130 55 51 
133 61 56 
137 62 59 
132 66 58 
137 62 54 
139 62 57 
132 66 58 
127 63 53 
129 58 58 
139 65 56 
146 68 58 
144 69 57 
146 65 57 
155 59 50 
157 60 51 
155 67 56 
147 69 56 
151 64 52 
156 61 52 
153 66 54 
156 61 52 
162 67 58 
157 60 55 
154 61 50 
158 64 54 
157 67 52 
160 70 54 
160 74 60 
158 71 55 
149 64 51 
143 66 55 
147 68 55 
146 61 49 
147 62 58 
141 63 54 
132 61 51 
130 60 52 
140 64 52 
131 64 58 
134 71 57 
131 61 52 
128 62 50 
129 63 52 
129 61 49 
134 65 52 
133 64 56 
137 59 51 
147 54 46 
147 62 53 
154 59 49 
152 59 48 
151 60 53 
156 60 51 
152 62 55 
161 61 51 
166 62 48 
162 59 49 
157 58 46 
148 61 49 
138 65 50 
132 59 48 
129 62 48 
126 61 48 
122 56 47 
126 58 49 
136 60 46 
135 59 46 
131 66 52 
132 61 46 
136 67 52 
144 63 52 
155 65 48 
164 60 52 
167 62 49 
171 61 48 
174 58 47 
171 56 47 
172 58 48 
170 66 49 
157 68 50 
122 62 50 
103 58 50 
98 59 48 
96 60 48 
102 59 47 
101 62 50 
107 67 52 
108 63 52 
111 60 50 
107 62 49 
109 59 45 
111 61 52 
108 74 54 
111 69 48 
114 63 49 
113 66 50 
109 68 50 
111 70 56 
116 74 54 
122 70 53 
124 75 58 
126 72 55 
126 61 50 
114 63 55 
110 72 54 
123 70 51 
125 79 61 
120 88 61 
112 84 63 
113 75 53 
109 66 51 
107 69 54 
111 72 56 
102 74 55 
106 74 58 
106 80 55 
102 75 57 
107 75 58 
114 68 53 
117 70 59 
115 75 62 
122 66 58 
128 70 58 
147 71 54 
176 69 54 
179 69 58 
177 69 54 
175 69 57 
173 70 57 
179 67 52 
182 69 55 
194 70 53 
195 72 52 
173 72 58 
156 65 53 
153 63 54 
161 63 55 
176 67 55 
187 71 55 
192 73 56 
196 74 57 
193 78 62 
192 86 62 
200 78 56 
206 74 55 
198 78 59 
185 75 56 
178 85 58 
178 80 59 
179 72 53 
187 69 53 
191 74 56 
190 81 57 
176 77 56 
168 85 60 
167 74 54 
153 74 52 
137 84 55 
143 86 58 
150 87 56 
148 94 60 
148 88 58 
144 78 54 
143 77 56 
149 80 55 
153 85 57 
154 87 64 
149 96 63 
145 93 61 
144 92 59 
145 104 63 
151 116 66 
114 110 65 
56 115 68 
60 103 63 
60 98 59 
61 104 60 
63 105 62 
64 99 60 
62 101 60 
63 107 65 
62 106 69 
60 102 65 
63 109 76 
67 104 68 
65 103 71 
65 105 72 
66 114 69 
67 105 70 
70 104 68 
65 95 61 
65 85 61 
63 91 69 
68 88 64 
63 92 60 
61 91 63 
65 89 63 
62 88 61 
63 76 61 
68 84 65 
61 71 60 
57 65 55 
56 73 59 
62 78 60 
65 81 60 
63 82 60 
63 85 62 
60 82 60 
62 76 56 
59 69 55 
66 63 51 
72 68 54 
70 59 50 
62 56 46 
64 64 49 
69 81 60 
71 81 62 
65 80 58 
68 64 51 
72 60 50 
72 73 54 
71 86 65 
66 84 59 
65 87 60 
67 91 60 
63 94 66 
63 82 62 
57 84 67 
59 81 58 
58 83 57 
59 86 62 
52 82 62 
63 73 55 
61 84 61 
60 96 60 
65 97 61 
59 88 58 
59 72 57 
61 76 55 
59 93 65 
58 103 70 
58 110 72 
54 104 67 
51 109 66 
56 113 68 
59 87 62 
62 68 53 
59 57 48 
59 58 47 
62 57 48 
56 50 44 
61 49 44 
61 61 47 
58 71 50 
53 85 52 
51 114 64 
57 132 70 
56 134 72 
61 133 68 
59 134 71 
66 147 76 
63 141 67 
69 133 68 
72 133 70 
68 124 68 
71 122 68 
68 121 70 
65 119 66 
61 114 64 
62 125 66 
64 133 70 
64 138 68 
67 137 71 
66 133 71 
70 134 69 
73 138 66 
70 142 72 
63 144 71 
64 135 67 
63 134 64 
61 133 66 
61 126 64 
65 116 63 
67 113 65 
71 116 62 
64 124 66 
61 128 68 
65 132 72 
61 128 65 
57 128 67 
63 128 65 
61 128 62 
67 125 69 
67 124 63 
65 126 62 
66 130 70 
67 133 69 
64 128 70 
62 130 66 
61 131 68 
62 130 64 
67 124 70 
68 125 65 
65 124 68 
58 119 67 
62 115 62 
62 122 68 
59 125 71 
57 127 68 
60 127 68 
61 131 71 
61 129 68 
68 121 69 
63 132 75 
66 136 79 
64 130 72 
64 124 71 
60 111 73 
69 98 66 
69 97 64 
62 107 62 
67 106 70 
65 113 67 
68 121 66 
67 121 67 
68 113 72 
65 109 69 
65 105 67 
59 104 64 
61 95 60 
68 96 62 
62 98 64 
65 90 62 
69 98 59 
71 104 64 
71 104 65 
67 99 72 
64 104 66 
67 106 67 
65 112 68 
69 116 66 
67 99 60 
69 100 62 
69 98 62 
66 99 62 
65 97 59 
71 96 62 
71 85 58 
73 94 62 
69 105 64 
68 123 69 
70 128 70 
74 125 72 
66 120 70 
73 123 65 
73 125 74 
71 112 75 
74 78 59 
70 60 50 
72 65 53 
68 61 48 
71 59 49 
78 53 49 
80 45 42 
80 44 41 
80 44 42 
79 42 39 
73 46 45 
80 44 42 
76 44 45 
74 47 44 
77 48 42 
72 54 45 
67 53 47 
73 49 44 
79 50 47 
78 50 42 
80 52 43 
79 42 37 
75 40 36 
75 39 38 
82 38 36 
77 37 36 
74 37 35 
77 39 35 
75 41 37 
68 45 39 
72 46 38 
72 47 38 
74 48 41 
72 51 43 
73 51 42 
75 56 42 
77 67 48 
76 79 57 
69 72 50 
76 66 49 
81 87 54 
80 106 61 
81 93 56 
89 86 55 
82 72 51 
88 55 45 
85 54 42 
88 59 46 
77 71 51 
78 84 52 
86 85 51 
82 94 61 
82 82 51 
80 78 50 
76 82 54 
78 88 53 
81 100 56 
80 114 58 
79 112 60 
80 108 62 
84 94 57 
88 93 55 
87 96 55 
81 92 60 
82 82 53 
91 77 52 
94 73 49 
96 89 56 
105 89 49 
105 91 53 
124 108 59 
114 255 147 
56 62 51 
60 66 55 
60 62 48 
61 62 51 
63 65 55 
64 66 52 
62 65 55 
63 71 60 
62 63 53 
60 61 51 
63 64 52 
67 66 51 
65 68 55 
65 63 50 
66 66 51 
67 66 52 
70 68 53 
65 65 53 
65 73 55 
63 66 54 
68 70 53 
63 67 55 
