262144 3
60 255 67 
75 72 98 
78 76 106 
79 77 95 
81 75 103 
79 79 102 
76 75 104 
79 77 102 
76 83 107 
79 79 101 
70 80 99 
76 76 95 
73 73 99 
80 75 98 
74 79 100 
75 77 94 
73 84 105 
76 82 102 
75 81 101 
74 78 102 
76 80 98 
77 76 97 
74 87 103 
76 74 102 
75 76 97 
76 74 100 
76 72 97 
79 74 98 
76 74 103 
76 79 103 
80 71 98 
77 65 98 
75 77 107 
74 75 103 
76 68 99 
74 74 100 
74 77 96 
76 78 93 
72 75 99 
76 74 98 
73 69 99 
76 71 95 
76 73 102 
75 71 95 
75 73 96 
74 69 95 
73 73 96 
75 68 99 
77 67 97 
75 73 98 
73 72 97 
73 71 100 
68 77 99 
78 68 100 
78 81 103 
72 76 98 
76 67 95 
76 78 96 
77 73 97 
74 74 97 
78 74 98 
75 80 98 
73 67 97 
74 74 101 
75 70 100 
75 71 104 
76 69 104 
72 72 101 
75 77 101 
73 71 100 
76 74 100 
75 78 102 
78 73 100 
72 80 101 
76 78 102 
70 80 105 
71 77 100 
75 81 104 
77 74 103 
74 77 99 
72 79 98 
75 81 102 
73 78 99 
73 74 109 
72 74 104 
70 76 99 
67 79 102 
71 80 103 
72 81 100 
72 80 98 
70 81 99 
70 76 104 
76 69 98 
75 76 100 
72 76 102 
72 73 102 
72 71 104 
77 74 103 
73 79 102 
75 78 103 
73 76 103 
74 76 103 
76 78 101 
71 81 105 
78 71 103 
74 73 100 
72 77 99 
74 73 102 
69 79 99 
76 64 95 
72 67 95 
73 68 101 
73 71 103 
71 71 99 
71 72 106 
67 70 104 
72 75 99 
71 70 102 
70 71 102 
63 71 102 
65 71 101 
70 73 101 
68 70 93 
69 73 103 
70 71 104 
68 68 101 
69 78 97 
70 75 101 
73 63 101 
71 65 103 
70 72 103 
70 64 103 
62 77 102 
70 64 101 
70 70 103 
66 78 102 
68 72 100 
67 78 107 
72 68 99 
67 75 104 
67 70 100 
70 74 100 
65 84 105 
68 73 103 
65 82 104 
70 76 106 
66 76 102 
70 74 100 
70 80 102 
69 73 106 
69 75 100 
70 76 107 
69 82 102 
68 79 102 
71 76 105 
68 78 101 
71 73 102 
73 75 103 
71 76 101 
70 76 105 
72 72 102 
69 71 103 
71 77 107 
69 80 106 
68 68 100 
72 70 103 
72 78 103 
72 77 103 
65 75 100 
72 71 102 
72 70 101 
74 70 104 
73 67 105 
74 68 102 
71 70 99 
72 68 104 
72 69 97 
71 74 101 
69 66 102 
71 66 102 
69 74 99 
71 70 100 
73 71 102 
70 70 102 
72 68 99 
74 69 100 
69 71 100 
73 74 100 
69 70 104 
71 71 100 
67 73 103 
68 74 101 
70 75 102 
69 75 104 
71 68 97 
65 76 100 
70 73 104 
68 74 101 
70 63 97 
67 74 104 
67 78 99 
69 80 101 
68 73 98 
65 74 103 
64 75 102 
65 82 100 
63 76 100 
68 69 104 
68 76 102 
68 71 98 
67 78 103 
68 77 103 
67 80 99 
54 85 105 
50 75 104 
48 71 106 
33 62 109 
38 71 100 
34 65 105 
15 54 106 
10 39 99 
5 38 102 
2 35 91 
0 20 92 
1 1 90 
7 3 83 
14 10 95 
11 20 103 
15 27 98 
19 35 101 
23 41 106 
27 40 105 
19 41 104 
26 50 112 
17 46 108 
14 43 103 
12 40 105 
14 43 102 
15 48 102 
15 39 102 
14 46 105 
17 49 105 
17 48 105 
15 37 101 
14 37 96 
14 37 100 
11 40 95 
12 41 97 
14 32 95 
14 33 96 
17 37 97 
14 41 97 
14 44 101 
14 40 95 
10 39 96 
10 38 97 
11 46 93 
5 42 99 
7 40 99 
7 42 99 
6 39 96 
7 38 96 
6 39 94 
5 35 99 
4 36 95 
4 35 88 
6 36 94 
7 31 85 
8 32 95 
7 24 96 
7 31 98 
7 26 96 
8 24 89 
5 22 90 
2 22 86 
1 13 84 
4 22 81 
6 30 87 
5 31 96 
4 25 96 
4 25 98 
4 24 95 
7 26 97 
8 31 97 
7 23 91 
6 30 95 
7 27 95 
4 22 97 
6 30 94 
7 29 93 
8 32 97 
12 44 101 
10 41 99 
6 33 93 
9 40 93 
8 42 95 
6 39 94 
5 35 96 
3 38 89 
9 41 89 
15 44 96 
9 45 102 
12 47 95 
14 51 99 
10 45 101 
10 36 95 
8 36 97 
9 40 95 
9 41 94 
9 33 103 
8 38 101 
12 41 91 
10 34 91 
14 35 99 
7 30 99 
10 33 94 
13 34 101 
14 36 95 
12 30 99 
13 35 99 
13 37 95 
