262144 3
154 255 255 
245 255 167 
236 255 177 
237 255 146 
226 255 162 
239 255 164 
238 255 170 
248 255 164 
240 255 167 
232 255 159 
234 255 156 
224 255 160 
208 255 152 
226 255 151 
231 255 159 
214 255 149 
219 255 124 
155 255 132 
148 255 129 
158 255 125 
143 255 132 
159 255 132 
149 255 129 
151 255 138 
166 255 128 
124 255 136 
126 255 135 
125 255 121 
74 255 124 
74 255 107 
86 255 117 
95 255 124 
85 255 103 
75 255 109 
79 255 96 
82 255 104 
81 255 118 
92 255 115 
105 255 120 
125 255 131 
136 255 124 
156 255 144 
154 255 133 
157 255 146 
151 255 148 
166 255 140 
149 255 134 
147 255 138 
174 255 148 
195 255 164 
207 255 171 
219 255 149 
232 255 159 
240 255 165 
233 255 167 
235 255 163 
232 255 168 
232 255 183 
227 255 145 
228 255 158 
230 255 159 
218 255 157 
218 255 166 
227 255 149 
222 255 173 
242 255 163 
244 255 163 
225 255 171 
227 255 153 
238 255 162 
224 255 159 
223 255 140 
231 255 164 
226 255 150 
224 255 154 
225 255 174 
233 255 169 
245 255 167 
223 255 163 
187 255 122 
90 255 96 
54 255 97 
60 255 108 
63 255 114 
60 255 109 
76 255 99 
60 255 99 
61 255 108 
63 255 105 
54 255 94 
96 255 115 
109 255 134 
73 255 108 
80 255 120 
65 255 112 
68 255 106 
77 255 120 
75 255 114 
113 255 114 
144 255 146 
200 255 155 
223 255 156 
251 255 162 
243 255 151 
221 255 156 
237 255 150 
234 255 157 
228 255 153 
232 255 162 
205 255 121 
93 255 65 
56 255 71 
59 255 89 
105 255 120 
133 255 143 
141 255 122 
103 255 103 
81 255 106 
89 255 101 
79 255 102 
63 255 105 
71 255 98 
56 255 94 
73 255 100 
87 255 105 
76 255 101 
78 255 93 
55 255 96 
56 255 89 
70 255 99 
59 255 99 
68 255 93 
68 255 109 
74 255 108 
78 255 98 
63 255 102 
68 255 90 
62 255 87 
56 255 86 
72 255 81 
62 255 93 
59 255 95 
68 255 98 
68 255 86 
44 255 75 
51 255 99 
89 255 107 
163 255 173 
208 255 159 
218 255 170 
224 255 172 
248 255 180 
231 255 175 
215 255 152 
127 255 90 
64 255 102 
88 255 101 
86 255 103 
66 255 98 
68 255 81 
48 255 84 
51 255 92 
54 255 84 
49 255 104 
96 255 117 
119 255 117 
134 255 130 
127 255 102 
112 255 104 
107 255 93 
131 255 109 
171 255 149 
204 255 139 
191 255 141 
196 255 137 
228 255 169 
229 255 136 
196 255 147 
185 255 127 
161 255 133 
201 255 149 
209 255 146 
199 255 157 
213 255 170 
223 255 169 
236 255 184 
242 255 159 
221 255 142 
192 255 140 
134 255 90 
112 255 82 
100 255 96 
124 255 100 
80 255 101 
69 255 91 
62 255 78 
41 255 78 
59 255 84 
53 255 78 
50 255 88 
66 255 87 
49 255 88 
61 255 89 
62 255 83 
51 255 91 
67 255 97 
52 255 92 
57 255 93 
64 255 83 
54 255 93 
64 255 98 
66 255 83 
50 255 88 
60 255 89 
57 255 88 
59 255 90 
65 255 95 
65 255 102 
