262144 3
154 255 255 
115 255 113 
104 255 109 
95 255 116 
94 255 107 
115 255 122 
124 255 118 
116 255 125 
121 255 105 
123 255 113 
75 255 81 
83 255 77 
78 255 78 
72 255 67 
81 255 74 
65 255 58 
61 255 55 
47 255 50 
51 255 51 
52 255 55 
51 255 53 
51 255 57 
52 255 53 
52 255 57 
43 255 52 
53 255 58 
47 255 55 
51 255 52 
52 255 58 
50 255 52 
51 255 56 
47 255 53 
51 255 54 
49 255 55 
50 255 56 
51 255 56 
50 255 53 
48 255 56 
46 255 53 
49 255 54 
44 255 52 
47 255 58 
47 255 55 
46 255 59 
45 255 55 
47 255 52 
52 255 61 
44 255 53 
50 255 61 
47 255 53 
47 255 59 
45 255 56 
50 255 53 
48 255 57 
50 255 60 
49 255 59 
47 255 53 
51 255 60 
47 255 56 
54 255 58 
51 255 58 
48 255 53 
51 255 56 
48 255 54 
50 255 55 
48 255 53 
52 255 55 
48 255 56 
48 255 54 
52 255 57 
50 255 53 
51 255 58 
47 255 52 
56 255 59 
49 255 54 
50 255 58 
49 255 57 
48 255 54 
49 255 58 
44 255 53 
49 255 59 
47 255 53 
46 255 57 
48 255 60 
48 255 56 
46 255 60 
48 255 57 
51 255 63 
47 255 57 
51 255 63 
46 255 60 
50 255 59 
48 255 63 
46 255 56 
52 255 67 
44 255 59 
49 255 63 
45 255 56 
47 255 61 
48 255 63 
50 255 61 
49 255 61 
47 255 60 
55 255 64 
46 255 56 
53 255 64 
49 255 58 
52 255 59 
53 255 61 
50 255 61 
57 255 63 
52 255 56 
58 255 67 
53 255 56 
61 255 60 
56 255 60 
60 255 64 
58 255 64 
60 255 58 
59 255 68 
56 255 61 
68 255 65 
57 255 58 
59 255 60 
63 255 65 
60 255 63 
64 255 71 
56 255 59 
63 255 67 
58 255 59 
68 255 77 
69 255 73 
75 255 78 
67 255 79 
74 255 75 
76 255 85 
75 255 77 
75 255 84 
67 255 75 
70 255 81 
69 255 79 
67 255 76 
72 255 84 
62 255 71 
68 255 82 
64 255 73 
72 255 89 
70 255 83 
64 255 79 
70 255 86 
61 255 77 
68 255 86 
59 255 71 
65 255 83 
62 255 75 
58 255 79 
63 255 80 
58 255 79 
58 255 80 
57 255 72 
57 255 87 
55 255 75 
56 255 78 
52 255 75 
52 255 71 
56 255 77 
54 255 69 
52 255 78 
55 255 72 
59 255 79 
53 255 69 
53 255 70 
55 255 69 
53 255 69 
53 255 74 
49 255 66 
53 255 73 
47 255 64 
54 255 73 
50 255 68 
50 255 71 
50 255 67 
47 255 62 
51 255 71 
47 255 61 
54 255 72 
50 255 64 
48 255 65 
46 255 68 
48 255 63 
45 255 69 
42 255 60 
44 255 66 
43 255 61 
41 255 64 
39 255 62 
36 255 63 
38 255 66 
35 255 60 
40 255 66 
39 255 60 
39 255 65 
39 255 63 
42 255 64 
43 255 69 
44 255 67 
46 255 65 
44 255 63 
47 255 70 
43 255 60 
49 255 67 
45 255 66 
43 255 65 
46 255 67 
45 255 61 
47 255 69 
40 255 57 
46 255 68 
41 255 63 
41 255 61 
44 255 64 
43 255 63 
46 255 69 
44 255 62 
45 255 69 
44 255 63 
44 255 66 
43 255 63 
46 255 61 
45 255 65 
45 255 62 
46 255 68 
44 255 63 
47 255 69 
41 255 62 
41 255 66 
44 255 65 
44 255 65 
50 255 73 
44 255 65 
48 255 69 
44 255 62 
42 255 67 
43 255 69 
45 255 66 
47 255 68 
43 255 61 
46 255 71 
48 255 60 
46 255 70 
43 255 62 
43 255 63 
44 255 61 
43 255 65 
48 255 67 
49 255 64 
44 255 71 
42 255 62 
46 255 66 
45 255 67 
42 255 64 
46 255 65 
47 255 62 
48 255 72 
45 255 64 
45 255 69 
49 255 64 
49 255 68 
50 255 68 
52 255 64 
53 255 67 
57 255 62 
60 255 64 
95 255 67 
151 255 82 
194 255 101 
211 255 126 
216 255 127 
212 255 115 
210 255 118 
186 255 104 
207 255 124 
206 255 108 
205 255 109 
204 255 110 
202 255 107 
205 255 103 
202 255 91 
211 255 100 
196 255 85 
203 255 86 
210 255 80 
199 255 79 
197 255 82 
199 255 68 
194 255 75 
194 255 65 
179 255 67 
187 255 60 
178 255 60 
184 255 62 
188 255 64 
189 255 67 
187 255 65 
181 255 67 
197 255 69 
187 255 76 
181 255 71 
195 255 71 
192 255 74 
189 255 78 
198 255 77 
204 255 69 
193 255 73 
176 255 66 
199 255 79 
196 255 73 
192 255 80 
195 255 70 
192 255 65 
195 255 69 
199 255 67 
192 255 73 
204 255 74 
190 255 80 
196 255 72 
203 255 75 
200 255 68 
205 255 71 
187 255 71 
200 255 69 
202 255 77 
204 255 67 
194 255 70 
201 255 68 
